palabra,estado,rank,indice_vq,probabilidad,num_simbolos_casi_cero,porcentaje_simbolos_casi_cero,umbral_casi_cero
entrega,1,1,130,0.04098359099705035,147,57.421875,1e-05
entrega,1,2,69,0.03770490384843381,147,57.421875,1e-05
entrega,1,3,225,0.03442621669981727,147,57.421875,1e-05
entrega,1,4,70,0.031147529551200724,147,57.421875,1e-05
entrega,1,5,171,0.027868842402584183,147,57.421875,1e-05
entrega,1,6,26,0.027868842402584183,147,57.421875,1e-05
entrega,1,7,216,0.027868842402584183,147,57.421875,1e-05
entrega,1,8,164,0.027868842402584183,147,57.421875,1e-05
entrega,1,9,50,0.024590155253967638,147,57.421875,1e-05
entrega,1,10,144,0.024590155253967638,147,57.421875,1e-05
